,algorithm,n_neighbors,p,weights,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
45,ball_tree,5,1,distance,0.8037542057729768,0.7417800453514739,0.8034660246080632,0.7415802400869302,0.8037542057729768,0.7417800453514739,0.8039693205322983,0.7418917012346012,0.8037811836897338,0.741708688672184,0.8037542057729768,0.7417800453514739,0.8037542057729768,0.7417800453514739,0.8035668478032392,0.7416229239546064,0.8037542057729768,0.7417800453514739,0.8038051276064948,0.7418143592197554
46,brute,3,3,distance,0.7946874446608819,0.7332766439909297,0.794378903582761,0.733038058713571,0.7946874446608819,0.7332766439909297,0.794857465898336,0.7332909591075712,0.7946446838096557,0.7330612209449877,0.7946874446608819,0.7332766439909297,0.7946874446608819,0.7332766439909297,0.794473015946447,0.7330491087492739,0.7946874446608819,0.7332766439909297,0.7947337631441534,0.733283271230978
47,ball_tree,3,2,distance,0.7931290950947406,0.7261904761904762,0.7928319645167266,0.726004587163336,0.7931290950947406,0.7261904761904762,0.7933381362694417,0.7263443153853507,0.793128510165132,0.7261476534849932,0.7931290950947406,0.7261904761904762,0.7931290950947406,0.7261904761904762,0.7929279491668448,0.7260424788947963,0.7931290950947406,0.7261904761904762,0.7931814387509771,0.7262337924721385
48,ball_tree,10,2,distance,0.8129626350274483,0.746031746031746,0.8134141453989798,0.7462221200867152,0.8129626350274483,0.746031746031746,0.8144056800564621,0.746753163503208,0.8137979887227673,0.7464160003242317,0.8129626350274483,0.746031746031746,0.8129626350274483,0.746031746031746,0.8129412348997572,0.7460081564385501,0.8129626350274483,0.746031746031746,0.8130198201368742,0.7460817004643963
49,kd_tree,10,3,uniform,0.7641225429431556,0.7329931972789115,0.7640238770338806,0.732858403225625,0.7641225429431556,0.7329931972789115,0.7647390436573186,0.733234407690056,0.7644240570338943,0.7330417606043578,0.7641225429431556,0.7329931972789115,0.7641225429431556,0.7329931972789115,0.7640046774901899,0.7328819444444444,0.7641225429431556,0.7329931972789115,0.7642118292926289,0.7330457333396321
50,brute,3,2,distance,0.7946874446608819,0.7327097505668935,0.7943970936324907,0.7325138519767651,0.7946874446608819,0.7327097505668935,0.7946528516074597,0.7326404693581896,0.7942657220583198,0.7322210488834107,0.7946874446608819,0.7327097505668935,0.7946874446608819,0.7327097505668935,0.7943257786613032,0.7323178012833185,0.7946874446608819,0.7327097505668935,0.7946645350747599,0.7326255540541254
51,brute,5,2,distance,0.8060563130865946,0.7463151927437641,0.8059764286155178,0.7461678961440583,0.8060563130865946,0.7463151927437641,0.8060288808821987,0.746258671955505,0.8053526096078473,0.7458046883016334,0.8060563130865946,0.7463151927437641,0.8060563130865946,0.7463151927437641,0.8055790003572476,0.7459207884988271,0.8060563130865946,0.7463151927437641,0.8059573704908043,0.7462215572035993
52,brute,5,2,uniform,0.7728351336993093,0.7295918367346939,0.7728699618283953,0.7296609438775263,0.7728351336993093,0.7295918367346939,0.7728514013309632,0.7296311660029725,0.7718070246278304,0.7287508359100862,0.7728351336993093,0.7295918367346939,0.7728351336993093,0.7295918367346939,0.7721078982099767,0.7289171997505116,0.7728351336993093,0.7295918367346939,0.7726135434498952,0.7293235152068941
53,brute,10,3,uniform,0.764512130334691,0.735827664399093,0.7644340575039674,0.7357047792204621,0.764512130334691,0.735827664399093,0.7651616438003745,0.7360878918361939,0.7648379314883467,0.7358958366772417,0.764512130334691,0.735827664399093,0.764512130334691,0.735827664399093,0.7644007175263174,0.7357236251358716,0.764512130334691,0.735827664399093,0.7646019501069139,0.7358811703058925
54,brute,5,3,uniform,0.7715955374535152,0.7310090702947846,0.7716134926545314,0.731377387215709,0.7715955374535152,0.7310090702947846,0.7716038592157666,0.7312454899399726,0.7705752657677074,0.7299562512243127,0.7715955374535152,0.7310090702947846,0.7715955374535152,0.7310090702947846,0.7708707579042038,0.7301331097065116,0.7715955374535152,0.7310090702947846,0.7713769169219533,0.7305950590714714
