,criterion,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,warm_start,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
20,squared_error,1.0,log_loss,15.0,,10.0,1,10,50,True,0.8063042323357535,0.7967687074829932,0.8059905490346176,0.796582720628425,0.8063042323357535,0.7967687074829932,0.8063502954471924,0.7968421233466385,0.8061038721838577,0.7967129393895629,0.8063042323357535,0.7967687074829932,0.8063042323357535,0.7967687074829932,0.8060420963742707,0.7966334051613768,0.8063042323357535,0.7967687074829932,0.8063221626375505,0.7967910100634794
21,friedman_mse,0.5,log_loss,5.0,log2,30.0,4,2,200,False,0.8141313972020542,0.7851473922902494,0.8138241978784397,0.784984218733275,0.8141313972020542,0.7851473922902494,0.8142144430673152,0.7853045223821508,0.8140086132038129,0.7851748873471438,0.8141313972020542,0.7851473922902494,0.8141313972020542,0.7851473922902494,0.813902145223937,0.7850368605985153,0.8141313972020542,0.7851473922902494,0.814158694612163,0.7851833150900629
22,squared_error,2.0,log_loss,5.0,log2,10.0,1,5,50,False,0.46353816185585267,0.4744897959183674,0.4623760881598148,0.4737446197991392,0.46353816185585267,0.4744897959183674,0.4632267414462214,0.47423220417344897,0.46242644387181076,0.47377630644021473,0.46353816185585267,0.4744897959183674,0.46353816185585267,0.4744897959183674,0.4623773290846973,0.4737305882742926,0.46353816185585267,0.4744897959183674,0.4633585512975108,0.4743311555151279
23,squared_error,1.0,log_loss,15.0,0.7,10.0,2,2,200,False,0.8137418098105189,0.7769274376417233,0.8134454954412178,0.7767322390597289,0.8137418098105189,0.7769274376417233,0.813905093532903,0.7770044897135633,0.8137284899557146,0.7768537421913373,0.8137418098105189,0.7769274376417233,0.8137418098105189,0.7769274376417233,0.8135472815011842,0.7767789258884289,0.8137418098105189,0.7769274376417233,0.8137838296317239,0.7769519176010578
24,squared_error,0.5,exponential,5.0,,,4,2,50,False,0.8061625641933771,0.79421768707483,0.8059340702114872,0.794226297885879,0.8061625641933771,0.79421768707483,0.8065220048423825,0.7946826708714751,0.8063353739337191,0.7944920481188285,0.8061625641933771,0.79421768707483,0.8061625641933771,0.79421768707483,0.8060182973154812,0.7941729722084718,0.8061625641933771,0.79421768707483,0.8062260790915674,0.7942641217437403
25,friedman_mse,0.5,exponential,,0.5,,4,5,100,False,0.817283513369931,0.7655895691609977,0.8170191885077629,0.7654442989014726,0.817283513369931,0.7655895691609977,0.817265314680848,0.7655430081803808,0.8169440742868753,0.7651646714724594,0.817283513369931,0.7655895691609977,0.817283513369931,0.7655895691609977,0.8169799014056826,0.7652659296263451,0.817283513369931,0.7655895691609977,0.8172726889433795,0.7655278058910259
26,friedman_mse,2.0,log_loss,,0.5,,2,5,200,False,0.5929874269523641,0.5856009070294784,0.5933558431960038,0.5858439704867959,0.5929874269523641,0.5856009070294784,0.5932922915372393,0.5858055156711606,0.5886525267480301,0.582822727233251,0.5929874269523641,0.5856009070294784,0.5929874269523641,0.5856009070294784,0.5856034069067615,0.5805273807277671,0.5929874269523641,0.5856009070294784,0.5877760994593149,0.5819134471916367
27,friedman_mse,0.5,log_loss,15.0,0.7,,4,5,200,True,0.817283513369931,0.7684240362811792,0.8170008253975363,0.7682659309385684,0.817283513369931,0.7684240362811792,0.8172840240979751,0.7683791685488167,0.8170025904396552,0.7680357954470522,0.817283513369931,0.7684240362811792,0.817283513369931,0.7684240362811792,0.8170017068897387,0.7681235622740716,0.817283513369931,0.7684240362811792,0.8172837677079094,0.7683743516028385
28,squared_error,2.0,exponential,20.0,0.5,,4,10,200,True,0.8167168408004251,0.7610544217687075,0.8169478258018797,0.7612414183210129,0.8167168408004251,0.7610544217687075,0.8168219474890476,0.7611588281770779,0.8157885781374387,0.7602674204626929,0.8167168408004251,0.7610544217687075,0.8167168408004251,0.7610544217687075,0.8161469385588007,0.7604784786485789,0.8167168408004251,0.7610544217687075,0.816548987913738,0.7608313686528195
29,squared_error,0.5,exponential,5.0,0.7,,4,10,100,False,0.8117938728528422,0.7857142857142857,0.8115497304472403,0.7855960342057469,0.8117938728528422,0.7857142857142857,0.8121126284260606,0.7859647006735446,0.8119405525134895,0.7858275324899232,0.8117938728528422,0.7857142857142857,0.8117938728528422,0.7857142857142857,0.8116445463574928,0.7856298933505569,0.8117938728528422,0.7857142857142857,0.8118528521227034,0.7857576875013463
30,friedman_mse,1.0,exponential,5.0,0.7,10.0,2,10,200,False,0.8136355587037365,0.7791950113378685,0.8133787428808908,0.7790143094482478,0.8136355587037365,0.7791950113378685,0.8139212357333401,0.779313596952932,0.8137544326444281,0.7791745084334041,0.8136355587037365,0.7791950113378685,0.8136355587037365,0.7791950113378685,0.8134793895139512,0.7790667659520727,0.8136355587037365,0.7791950113378685,0.8136913743749938,0.7792266954920063
31,friedman_mse,2.0,log_loss,5.0,log2,10.0,1,5,200,True,0.6,0.5972222222222222,0.6018913951573635,0.5999783175820319,0.6,0.5972222222222222,0.6016091999159378,0.5996565707668999,0.5949765276080259,0.5934401925833908,0.6,0.5972222222222222,0.6,0.5972222222222222,0.5906330911901394,0.588728713134453,0.6,0.5972222222222222,0.5930652854936129,0.5905044763756828
32,squared_error,0.5,exponential,5.0,sqrt,30.0,1,10,100,False,0.8094917655392244,0.7976190476190477,0.8092284517016792,0.7975244952076586,0.8094917655392244,0.7976190476190477,0.8097662326332402,0.7979099781156296,0.8095916977084443,0.7977771466122763,0.8094917655392244,0.7976190476190477,0.8094917655392244,0.7976190476190477,0.8093285843471116,0.7975481955772619,0.8094917655392244,0.7976190476190477,0.8095476738653357,0.7976619882504329
33,squared_error,2.0,exponential,5.0,0.5,30.0,2,2,50,True,0.7997520807508411,0.7687074829931972,0.7996042301423862,0.7687713291385558,0.7997520807508411,0.7687074829931972,0.800273480447596,0.7692547356676996,0.8000445571017951,0.7690099382833793,0.7997520807508411,0.7687074829931972,0.7997520807508411,0.7687074829931972,0.7996368894935802,0.7686681557113456,0.7997520807508411,0.7687074829931972,0.7998255853640416,0.7687587794477864
34,squared_error,0.5,exponential,5.0,0.7,,2,5,50,True,0.8063750664069418,0.7970521541950113,0.8060771109790719,0.7968633591799397,0.8063750664069418,0.7970521541950113,0.8065525535251262,0.7971074112725933,0.8063642965767972,0.7969710703541171,0.8063750664069418,0.7970521541950113,0.8063750664069418,0.7970521541950113,0.8061772591495013,0.7969079787116009,0.8063750664069418,0.7970521541950113,0.8064204611988376,0.7970705595758721
35,squared_error,2.0,exponential,15.0,sqrt,10.0,1,10,50,False,0.7815831414910572,0.7808956916099773,0.7836064060999988,0.7826086108119078,0.7815831414910572,0.7808956916099773,0.7829752386031448,0.7821357737405417,0.7795417298537597,0.7795128931993991,0.7815831414910572,0.7808956916099773,0.7815831414910572,0.7808956916099773,0.7800829718720259,0.7798339339612566,0.7815831414910572,0.7808956916099773,0.7807963887277315,0.7802933066582541
36,friedman_mse,2.0,exponential,15.0,0.5,30.0,2,2,50,False,0.8007083407118825,0.7675736961451247,0.8018864478011244,0.7690042047929504,0.8007083407118825,0.7675736961451247,0.8014370082545232,0.7685987665130855,0.7991478898385345,0.7662214805491483,0.8007083407118825,0.7675736961451247,0.8007083407118825,0.7675736961451247,0.799695262315333,0.7664930959133387,0.8007083407118825,0.7675736961451247,0.8002547762305587,0.7669703610157107
37,squared_error,0.5,log_loss,5.0,log2,,2,5,200,False,0.8146980697715601,0.7766439909297053,0.814391625693173,0.776465814162063,0.8146980697715601,0.7766439909297053,0.8147881793488688,0.7766110967572174,0.8145873072758485,0.77633989270115,0.8146980697715601,0.7766439909297053,0.8146980697715601,0.7766439909297053,0.8144731963572759,0.7763938466290138,0.8146980697715601,0.7766439909297053,0.8147268938307665,0.776618552526245
