,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,random_state,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
55,entropy,15.0,0.7,10.0,2,5,50,23,0.7559057906853196,0.7644557823129252,0.7555873372956843,0.7643398268398268,0.7559057906853196,0.7644557823129252,0.7558207575264216,0.7644129892216626,0.7552472046520495,0.7639787164988627,0.7559057906853196,0.7644557823129252,0.7559057906853196,0.7644557823129252,0.7553784095574102,0.7641000594222005,0.7559057906853196,0.7644557823129252,0.7558245313505846,0.7643752902719583
56,gini,20.0,sqrt,10.0,4,2,10,23,0.734018062688153,0.7448979591836735,0.7337948106297435,0.74502034997764,0.734018062688153,0.7448979591836735,0.733919288524553,0.7449667407868943,0.7329940662827079,0.7440878359361405,0.734018062688153,0.7448979591836735,0.734018062688153,0.7448979591836735,0.7332151127378661,0.7442759268547969,0.734018062688153,0.7448979591836735,0.7337899813594725,0.7446548660896297
57,gini,20.0,0.7,10.0,4,5,10,23,0.753957853727643,0.7636054421768708,0.7535945087208609,0.763416593610186,0.753957853727643,0.7636054421768708,0.7540614260007235,0.7637198958536493,0.7537490614902578,0.7635623295410866,0.753957853727643,0.7636054421768708,0.753957853727643,0.7636054421768708,0.7536574414392769,0.7634648907164887,0.753957853727643,0.7636054421768708,0.7539953290942444,0.7636381285630062
58,gini,15.0,sqrt,10.0,1,2,10,23,0.734018062688153,0.7448979591836735,0.7337948106297435,0.74502034997764,0.734018062688153,0.7448979591836735,0.733919288524553,0.7449667407868943,0.7329940662827079,0.7440878359361405,0.734018062688153,0.7448979591836735,0.734018062688153,0.7448979591836735,0.7332151127378661,0.7442759268547969,0.734018062688153,0.7448979591836735,0.7337899813594725,0.7446548660896297
59,gini,5.0,0.5,,2,2,50,23,0.7760580839383744,0.784297052154195,0.7757224210480695,0.784098627641674,0.7760580839383744,0.784297052154195,0.776030830447695,0.7843177213742494,0.7756438013009446,0.7841447759278481,0.7760580839383744,0.784297052154195,0.7760580839383744,0.784297052154195,0.7756807654821243,0.7841201236706257,0.7760580839383744,0.784297052154195,0.7760421179587921,0.7843058109900153
60,gini,5.0,0.7,,1,5,100,23,0.775668496546839,0.7871315192743764,0.775416795664279,0.7870692935411385,0.775668496546839,0.7871315192743764,0.7760069357885054,0.7874815390238394,0.7757649316719077,0.7873227621332006,0.775668496546839,0.7871315192743764,0.775668496546839,0.7871315192743764,0.775492295439921,0.7870678626315724,0.775668496546839,0.7871315192743764,0.7757393334014533,0.7871784790928386
61,entropy,20.0,log2,10.0,1,5,100,23,0.7429431556578714,0.7551020408163265,0.7425929711951617,0.7550056953388444,0.7429431556578714,0.7551020408163265,0.7428456417020877,0.7550618086389165,0.7422478220905535,0.7545568558780039,0.7429431556578714,0.7551020408163265,0.7429431556578714,0.7551020408163265,0.7423775316415723,0.7546933667083855,0.7429431556578714,0.7551020408163265,0.7428516639424609,0.7549941962600643
62,gini,20.0,0.5,,1,5,50,23,0.8166460067292368,0.7763605442176871,0.8163613844317681,0.7761689814814815,0.8166460067292368,0.7763605442176871,0.8168462479154742,0.7764510043986731,0.8166817578993012,0.7763033844588112,0.8166460067292368,0.7763605442176871,0.8166460067292368,0.7763605442176871,0.8164677269023722,0.7762181318340752,0.8166460067292368,0.7763605442176871,0.816692400002364,0.7763877465830962
63,entropy,,0.7,30.0,4,2,50,23,0.7734372233044094,0.7825963718820862,0.7732044820663173,0.7824960969904319,0.7734372233044094,0.7825963718820862,0.7733650981416403,0.7825625291061529,0.7727402428153249,0.7821697925978011,0.7734372233044094,0.7825963718820862,0.7734372233044094,0.7825963718820862,0.7729119101053137,0.7822869645778716,0.7734372233044094,0.7825963718820862,0.7733409029902895,0.7825335598729599
64,gini,15.0,,30.0,2,2,100,23,0.781547724455463,0.7916666666666666,0.7812065204471883,0.7914900703127813,0.781547724455463,0.7916666666666666,0.7816191652074682,0.791782558023904,0.7813439439407568,0.7916574323865744,0.781547724455463,0.7916666666666666,0.781547724455463,0.7916666666666666,0.781266172038416,0.7915456649226874,0.781547724455463,0.7916666666666666,0.7815744066193687,0.7916965612151793
